"datazone","median_price","number_of_sales"
"S01000705",190000,15
"S01000706",145000,7
"S01000707",180250,9
"S01000708",235000,5
"S01000709",247000,14
"S01000710",175000,7
"S01000711",165000,5
"S01000712",1e+05,9
"S01000713",92000,5
"S01000714",160000,5
"S01000715",70000,10
"S01000716",51000,6
"S01000718",124500,2
"S01000719",172500,10
"S01000720",92250,8
"S01000721",68250,2
"S01000722",87513,8
"S01000723",125000,1
"S01000724",110000,6
"S01000725",117000,13
"S01000726",174500,8
"S01000727",90125,6
"S01000728",95000,9
"S01000729",88000,5
"S01000730",65000,3
"S01000731",180000,1
"S01000732",83000,5
"S01000733",45000,10
"S01000734",176000,12
"S01000735",80000,9
"S01000736",58000,19
"S01000737",65000,13
"S01000738",85000,9
"S01000739",70000,12
"S01000740",156250,7
"S01000741",123000,19
"S01000742",250000,15
"S01000743",123750,14
"S01000744",91000,18
"S01000745",92500,12
"S01000746",88500,14
"S01000747",66750,4
"S01000748",60003,2
"S01000750",172500,12
"S01000751",190000,13
"S01000752",77513,10
"S01000753",110000,9
"S01000754",120000,11
"S01000755",225000,7
"S01000756",123000,15
"S01000757",108250,12
"S01000758",217500,24
"S01000759",117500,8
"S01000760",278500,4
"S01000761",165000,7
"S01000762",157111,8
"S01000763",180500,8
"S01000764",160000,15
"S01000765",238000,5
"S01000766",80000,9
"S01000767",157500,4
"S01000768",86998,18
"S01000769",78000,15
"S01000770",85000,1
"S01000771",119000,11
"S01000772",133000,23
"S01000773",150000,19
"S01000774",88000,1
"S01000775",185000,9
"S01000776",220000,5
"S01000778",335100,9
"S01000779",133500,8
"S01000780",79000,5
"S01000781",196250,16
"S01000782",233000,5
"S01000783",108750,16
"S01000784",302000,10
"S01000785",146000,11
"S01000786",160000,9
"S01000787",40363,8
"S01000788",204000,9
"S01000789",84000,7
"S01000790",345000,6
"S01000791",70000,1
"S01000792",195000,11
"S01000793",1e+05,3
"S01000794",77500,12
"S01000795",111500,14
"S01000796",302500,6
"S01000797",114500,7
"S01000798",75500,4
"S01000799",196500,12
"S01000800",117750,14
"S01000801",151250,10
"S01000802",120000,9
"S01000803",217500,16
"S01000804",150000,11
"S01000805",155000,13
"S01000806",180000,13
"S01000807",121000,13
"S01000808",202500,18
"S01000809",240000,1
"S01000810",210001,10
"S01000811",230000,6
"S01000812",163000,11
"S01000813",165000,9
"S01000814",80000,8
"S01000816",90000,13
"S01000817",120000,7
"S01000818",120000,17
"S01000819",117000,7
"S01000820",220000,4
"S01000821",125000,9
"S01000822",93500,7
"S01000823",88000,5
"S01000824",125000,10
"S01000825",310000,5
"S01000826",77000,1
"S01000827",182575,10
"S01000828",185000,10
"S01000829",135000,8
"S01000830",250000,9
"S01000831",120500,12
"S01000832",165000,13
"S01000833",169000,19
"S01000834",104219,4
"S01000835",88000,7
"S01000836",54000,5
"S01000837",73500,18
"S01000838",84000,8
"S01000839",85000,14
"S01000840",84900,4
"S01000841",119995,3
"S01000842",169000,7
"S01000843",137750,12
"S01000844",75000,7
"S01000845",111500,6
"S01000846",67000,6
"S01000847",82000,13
"S01000848",163500,10
"S01000849",120000,3
"S01000850",69950,5
"S01000851",120000,7
"S01000852",88500,10
"S01000853",81000,4
"S01000854",85000,2
"S01000855",98500,6
"S01000856",99500,2
"S01000857",140000,5
"S01000858",116000,9
"S01000859",165000,11
"S01000860",63625,8
"S01000861",112000,9
"S01000862",123000,7
"S01000863",92500,6
"S01000864",179500,4
"S01000865",132000,8
"S01000866",89973,2
"S01000867",72500,8
"S01000868",67500,3
"S01000869",62950,1
"S01000870",35000,1
"S01000871",109000,10
"S01000872",108500,4
"S01000873",159795,18
"S01000874",142250,2
"S01000875",172500,18
"S01000876",73000,13
"S01000877",87500,7
"S01000878",132500,4
"S01000879",195000,15
"S01000880",112000,7
"S01000881",80000,5
"S01000882",115000,11
"S01000883",72500,7
"S01000884",85000,5
"S01000885",182500,4
"S01000886",147000,9
"S01000887",146500,3
"S01000888",83000,5
"S01000889",85000,13
"S01000890",65000,7
"S01000891",269500,6
"S01000892",168000,7
"S01000893",207000,8
"S01000894",104250,4
"S01000895",135000,17
"S01000896",190000,9
"S01000897",121125,4
"S01000898",124500,12
"S01000899",117500,9
"S01000900",110000,8
"S01000901",136000,9
"S01000902",130000,17
"S01000903",117000,12
"S01000904",115000,9
"S01000905",205000,4
"S01000906",117500,6
"S01000907",140000,15
"S01000908",130000,10
"S01000909",215000,11
"S01000910",78500,6
"S01000911",165000,6
"S01000912",111500,8
"S01000913",138750,14
"S01000914",244900,15
"S01000915",205000,19
"S01000916",93500,6
"S01000917",140000,11
"S01000918",107500,7
"S01000919",123500,4
"S01000920",152475,6
"S01000921",105000,2
"S01000922",122498,10
"S01000923",92250,8
"S01000924",86000,8
"S01000925",130000,13
"S01000926",115000,9
"S01000927",88600,6
"S01000928",79850,10
"S01000929",34000,1
"S01000931",87000,7
"S01000932",89750,10
"S01000933",95000,13
"S01000934",60000,8
"S01000935",94000,7
"S01000936",125000,7
"S01000937",157500,7
"S01000938",130000,5
"S01000939",93000,9
"S01000940",108000,13
"S01000941",95575,4
"S01000942",90000,9
"S01000943",138250,14
"S01000944",98000,8
"S01000945",117500,5
"S01000946",95000,5
"S01000947",117750,6
"S01000948",176250,10
"S01000949",176500,8
"S01000950",238500,14
"S01000951",102258,14
"S01000952",167500,10
"S01000953",187500,7
"S01000954",152500,15
"S01000955",173500,8
"S01000956",73000,11
"S01000957",142500,3
"S01000958",97500,10
"S01000959",105000,7
"S01000960",133750,8
"S01000961",110000,11
"S01000962",85065,17
"S01000963",115000,7
"S01000964",220000,9
"S01000965",40000,1
"S01000966",78750,10
"S01000967",85000,5
"S01000968",249950,13
"S01000969",90000,14
"S01000970",85125,8
"S01000971",83000,3
"S01000972",123000,7
"S01000973",98875,10
"S01000974",134000,14
"S01000975",2e+05,5
"S01000976",244775,4
"S01000977",132500,12
"S01000978",244775,4
"S01000979",128750,2
"S01000980",137500,10
"S01000981",1e+05,5
"S01000982",220000,9
"S01000983",93000,8
"S01000984",210000,15
"S01000985",77000,1
"S01000986",173250,7
"S01000987",127500,3
"S01000988",121000,2
"S01000989",150000,4
"S01000990",150000,9
"S01000991",150000,7
"S01000992",157500,8
"S01000993",112500,9
"S01000994",102000,17
"S01000995",126975,14
"S01000996",117250,16
"S01000997",130000,9
"S01000998",96500,6
"S01000999",106750,6
"S01001000",65000,7
"S01001001",208500,6
"S01001002",93500,13
"S01001003",132000,10
"S01001004",153000,12
"S01001005",247000,11
"S01001006",122500,7
"S01001007",85000,11
"S01001008",93000,13
"S01001009",82000,9
"S01001010",107725,16
"S01001011",180069,4
"S01001012",146250,10
"S01001013",87000,11
"S01001014",53325,8
"S01001015",173950,17
"S01001016",103750,9
"S01001017",94500,10
"S01001018",75750,8
"S01001019",65000,7
"S01001020",108500,3
"S01001021",102750,10
"S01001022",115000,13
