"datazone","lt_mean","lt_med"
"S01005930",0.957758113262502,0.936022800617963
"S01005931",0.703303594743671,0.693207346011543
"S01005932",0.435800134030333,0.408095863336044
"S01005933",1.26553399752522,1.24570346611179
"S01005934",0.618140903147179,0.5917863824972
"S01005935",0.704626279495192,0.709995209288583
"S01005936",0.541854699690887,0.555632342804164
"S01005937",1.67324551672392,1.49240193549748
"S01005938",0.758050480087078,0.735904482058741
"S01005939",0.506327407891231,0.458427836213483
"S01005940",0.904334961652663,0.792947047512146
"S01005941",1.88634098320488,1.88650637135056
"S01005942",0.674584241667101,0.69385242354588
"S01005943",0.555153593213678,0.525975646312529
"S01005944",0.635461019760903,0.606352287426492
"S01005945",0.596110941237777,0.567779084791591
"S01005946",0.661817224685389,0.649378072571831
"S01005947",0.429085151463494,0.397468530248494
"S01005948",0.985411551551422,0.950398608740626
"S01005949",0.554438470553662,0.507956298720216
"S01005950",0.61136345995471,0.565973636501837
"S01005951",0.628421811615967,0.595289661296537
"S01005952",0.920064035750549,0.880639470003977
"S01005953",0.795984418980792,0.785247317516184
"S01005954",0.444942907779079,0.419638913153658
"S01005955",0.88592232453661,0.703316475196343
"S01005956",0.597999211522282,0.57308272230091
"S01005957",0.578228301596761,0.575739343089277
"S01005958",0.640716329810186,0.630504524132948
"S01005959",0.541216800677047,0.492991485788454
"S01005960",0.712392628602061,0.691171168190918
"S01005961",0.638858949615517,0.633831486503133
"S01005962",0.526463644528491,0.479185879202822
"S01005963",0.901966309550104,0.813437603157926
"S01005964",0.559849645574669,0.511156344600158
"S01005965",0.546156274980383,0.52965899074439
"S01005966",0.685652826657274,0.694241756315298
"S01005967",0.62790865726744,0.621900568816455
"S01005968",1.52598314093112,1.5081440209623
"S01005969",0.652107712332857,0.605597981713046
"S01005970",0.584153210323762,0.572399029000389
"S01005971",0.610789458478168,0.577598744795948
"S01005972",0.705395645078538,0.583290140307029
"S01005973",0.721353850145416,0.680246911664261
"S01005974",0.696892842537728,0.587272056082123
"S01005975",0.550678107990567,0.516508134930959
"S01005976",1.36346700336682,1.04407191805275
"S01005977",1.01518939239582,0.891290996663982
"S01005978",1.65013227959293,1.33842532716454
"S01005979",0.743447403218353,0.731705560961663
"S01005980",0.895297447398488,0.888954928015573
"S01005981",1.16204175519674,1.14446096848907
"S01005982",0.924674356403449,0.723930783122276
"S01005983",0.815137142512382,0.84536561062473
"S01005984",1.57588913065265,1.34857336811842
"S01005985",1.00980354191317,0.883738214953873
"S01005986",2.23922836986802,2.01509469258592
"S01005987",0.62263944090613,0.553216637264902
"S01005988",0.508486289258018,0.513079670932792
"S01005989",1.22460772740035,1.18208651581952
"S01005990",1.23999313971394,1.21803966910875
