"","datazone","local_authority"
"269","S01003604","Glasgow City"
"270","S01003284","Glasgow City"
"271","S01003405","Glasgow City"
"272","S01003615","Glasgow City"
"273","S01003312","Glasgow City"
"274","S01003231","Glasgow City"
"275","S01003450","Glasgow City"
"276","S01003466","Glasgow City"
"277","S01003215","Glasgow City"
"278","S01003275","Glasgow City"
"279","S01003213","Glasgow City"
"280","S01003669","Glasgow City"
"281","S01003490","Glasgow City"
"282","S01003026","Glasgow City"
"283","S01003308","Glasgow City"
"284","S01003316","Glasgow City"
"285","S01003101","Glasgow City"
"286","S01003327","Glasgow City"
"287","S01003693","Glasgow City"
"288","S01003306","Glasgow City"
"289","S01003541","Glasgow City"
"290","S01003445","Glasgow City"
"291","S01003472","Glasgow City"
"292","S01003494","Glasgow City"
"293","S01003249","Glasgow City"
"294","S01003322","Glasgow City"
"295","S01003134","Glasgow City"
"296","S01003599","Glasgow City"
"297","S01003286","Glasgow City"
"298","S01003214","Glasgow City"
"299","S01003077","Glasgow City"
"300","S01003334","Glasgow City"
"301","S01003662","Glasgow City"
"302","S01003586","Glasgow City"
"303","S01003606","Glasgow City"
"304","S01003408","Glasgow City"
"305","S01003678","Glasgow City"
"306","S01003580","Glasgow City"
"307","S01003413","Glasgow City"
"308","S01003422","Glasgow City"
"309","S01003630","Glasgow City"
"310","S01003294","Glasgow City"
"311","S01003350","Glasgow City"
"312","S01003714","Glasgow City"
"313","S01003271","Glasgow City"
"314","S01003635","Glasgow City"
"315","S01003686","Glasgow City"
"316","S01003696","Glasgow City"
"317","S01003688","Glasgow City"
"318","S01003144","Glasgow City"
"319","S01003191","Glasgow City"
"320","S01003498","Glasgow City"
"321","S01003188","Glasgow City"
"322","S01003138","Glasgow City"
"323","S01003639","Glasgow City"
"324","S01003598","Glasgow City"
"325","S01003266","Glasgow City"
"326","S01003060","Glasgow City"
"327","S01003448","Glasgow City"
"328","S01003651","Glasgow City"
"329","S01003383","Glasgow City"
"330","S01003602","Glasgow City"
"331","S01003469","Glasgow City"
"332","S01003458","Glasgow City"
"333","S01003695","Glasgow City"
"334","S01003046","Glasgow City"
"335","S01003178","Glasgow City"
"336","S01003355","Glasgow City"
"337","S01003674","Glasgow City"
"338","S01003495","Glasgow City"
"339","S01003051","Glasgow City"
"340","S01003239","Glasgow City"
"341","S01003345","Glasgow City"
"342","S01003692","Glasgow City"
"343","S01003201","Glasgow City"
"344","S01003255","Glasgow City"
"345","S01003537","Glasgow City"
"346","S01003463","Glasgow City"
"347","S01003310","Glasgow City"
"348","S01003161","Glasgow City"
"349","S01003058","Glasgow City"
"350","S01003684","Glasgow City"
"351","S01003128","Glasgow City"
"352","S01003607","Glasgow City"
"353","S01003108","Glasgow City"
"354","S01003407","Glasgow City"
"355","S01003054","Glasgow City"
"356","S01003152","Glasgow City"
"357","S01003118","Glasgow City"
"358","S01003671","Glasgow City"
"359","S01003335","Glasgow City"
"360","S01003277","Glasgow City"
"361","S01003203","Glasgow City"
"362","S01003502","Glasgow City"
"363","S01003473","Glasgow City"
"364","S01003200","Glasgow City"
"365","S01003192","Glasgow City"
"366","S01003199","Glasgow City"
"367","S01003608","Glasgow City"
"368","S01003145","Glasgow City"
"369","S01003375","Glasgow City"
"370","S01003454","Glasgow City"
"371","S01003098","Glasgow City"
"372","S01003303","Glasgow City"
"373","S01003324","Glasgow City"
"374","S01003475","Glasgow City"
"375","S01003426","Glasgow City"
"376","S01003147","Glasgow City"
"377","S01003135","Glasgow City"
"378","S01003436","Glasgow City"
"379","S01003285","Glasgow City"
"380","S01003535","Glasgow City"
"381","S01003700","Glasgow City"
"382","S01003381","Glasgow City"
"383","S01003329","Glasgow City"
"384","S01003360","Glasgow City"
"385","S01003685","Glasgow City"
"386","S01003216","Glasgow City"
"387","S01003534","Glasgow City"
"388","S01003218","Glasgow City"
"389","S01003681","Glasgow City"
"390","S01003645","Glasgow City"
"391","S01003643","Glasgow City"
"392","S01003116","Glasgow City"
"393","S01003492","Glasgow City"
"394","S01003642","Glasgow City"
"395","S01003238","Glasgow City"
"396","S01003461","Glasgow City"
"397","S01003622","Glasgow City"
"398","S01003220","Glasgow City"
"399","S01003126","Glasgow City"
"400","S01003243","Glasgow City"
"401","S01003165","Glasgow City"
"402","S01003358","Glasgow City"
"403","S01003092","Glasgow City"
"404","S01003268","Glasgow City"
"405","S01003406","Glasgow City"
"406","S01003242","Glasgow City"
"407","S01003510","Glasgow City"
"408","S01003625","Glasgow City"
"409","S01003339","Glasgow City"
"410","S01003250","Glasgow City"
"411","S01003148","Glasgow City"
"412","S01003593","Glasgow City"
"413","S01003189","Glasgow City"
"414","S01003668","Glasgow City"
"415","S01003075","Glasgow City"
"416","S01003280","Glasgow City"
"417","S01003305","Glasgow City"
"418","S01003403","Glasgow City"
"419","S01003415","Glasgow City"
"420","S01003117","Glasgow City"
"421","S01003176","Glasgow City"
"422","S01003122","Glasgow City"
"423","S01003070","Glasgow City"
"424","S01003062","Glasgow City"
"425","S01003317","Glasgow City"
"426","S01003698","Glasgow City"
"427","S01003264","Glasgow City"
"428","S01003647","Glasgow City"
"429","S01003069","Glasgow City"
"430","S01003172","Glasgow City"
"431","S01003478","Glasgow City"
"432","S01003207","Glasgow City"
"433","S01003222","Glasgow City"
"434","S01003174","Glasgow City"
"435","S01003151","Glasgow City"
"436","S01003230","Glasgow City"
"437","S01003637","Glasgow City"
"438","S01003236","Glasgow City"
"439","S01003315","Glasgow City"
"440","S01003063","Glasgow City"
"441","S01003090","Glasgow City"
"442","S01003227","Glasgow City"
"443","S01003183","Glasgow City"
"444","S01003476","Glasgow City"
"445","S01003100","Glasgow City"
"446","S01003683","Glasgow City"
"447","S01003392","Glasgow City"
"448","S01003499","Glasgow City"
"449","S01003097","Glasgow City"
"450","S01003157","Glasgow City"
"451","S01003338","Glasgow City"
"452","S01003548","Glasgow City"
"453","S01003348","Glasgow City"
"454","S01003298","Glasgow City"
"455","S01003409","Glasgow City"
"456","S01003057","Glasgow City"
"457","S01003452","Glasgow City"
"458","S01003481","Glasgow City"
"459","S01003235","Glasgow City"
"460","S01003633","Glasgow City"
"461","S01003154","Glasgow City"
"462","S01003470","Glasgow City"
"463","S01003094","Glasgow City"
"464","S01003715","Glasgow City"
"465","S01003304","Glasgow City"
"466","S01003211","Glasgow City"
"467","S01003300","Glasgow City"
"468","S01003447","Glasgow City"
"469","S01003691","Glasgow City"
"470","S01003209","Glasgow City"
"471","S01003143","Glasgow City"
"472","S01003344","Glasgow City"
"473","S01003053","Glasgow City"
"474","S01003417","Glasgow City"
"475","S01003265","Glasgow City"
"476","S01003179","Glasgow City"
"477","S01003528","Glasgow City"
"478","S01003219","Glasgow City"
"479","S01003164","Glasgow City"
"480","S01003477","Glasgow City"
"481","S01003468","Glasgow City"
"482","S01003382","Glasgow City"
"483","S01003156","Glasgow City"
"484","S01003533","Glasgow City"
"485","S01003410","Glasgow City"
"486","S01003648","Glasgow City"
"487","S01003581","Glasgow City"
"488","S01003127","Glasgow City"
"489","S01003105","Glasgow City"
"490","S01003451","Glasgow City"
"491","S01003487","Glasgow City"
"492","S01003130","Glasgow City"
"493","S01003278","Glasgow City"
"494","S01003328","Glasgow City"
"495","S01003080","Glasgow City"
"496","S01003694","Glasgow City"
"497","S01003380","Glasgow City"
"498","S01003325","Glasgow City"
"499","S01003658","Glasgow City"
"500","S01003649","Glasgow City"
"501","S01003618","Glasgow City"
"502","S01003395","Glasgow City"
"503","S01003491","Glasgow City"
"504","S01003259","Glasgow City"
"505","S01003173","Glasgow City"
"506","S01003195","Glasgow City"
"507","S01003547","Glasgow City"
"508","S01003320","Glasgow City"
"509","S01003430","Glasgow City"
"510","S01003034","Glasgow City"
"511","S01003065","Glasgow City"
"512","S01003073","Glasgow City"
"513","S01003449","Glasgow City"
"514","S01003091","Glasgow City"
"515","S01003119","Glasgow City"
"516","S01003187","Glasgow City"
"517","S01003614","Glasgow City"
"518","S01003371","Glasgow City"
"519","S01003087","Glasgow City"
"520","S01003385","Glasgow City"
"521","S01003149","Glasgow City"
"522","S01003257","Glasgow City"
"523","S01003667","Glasgow City"
"524","S01003137","Glasgow City"
"525","S01003676","Glasgow City"
"526","S01003129","Glasgow City"
"527","S01003240","Glasgow City"
"528","S01003505","Glasgow City"
"529","S01003146","Glasgow City"
"530","S01003169","Glasgow City"
"531","S01003484","Glasgow City"
"532","S01003479","Glasgow City"
"533","S01003136","Glasgow City"
"534","S01003446","Glasgow City"
"535","S01003078","Glasgow City"
"536","S01003517","Glasgow City"
"537","S01003496","Glasgow City"
"538","S01003125","Glasgow City"
"539","S01003114","Glasgow City"
"540","S01003516","Glasgow City"
"541","S01003321","Glasgow City"
"542","S01003292","Glasgow City"
"543","S01003193","Glasgow City"
"544","S01003501","Glasgow City"
"545","S01003464","Glasgow City"
"546","S01003465","Glasgow City"
"547","S01003659","Glasgow City"
"548","S01003123","Glasgow City"
"549","S01003425","Glasgow City"
"550","S01003433","Glasgow City"
"551","S01003460","Glasgow City"
"552","S01003682","Glasgow City"
"553","S01003166","Glasgow City"
"554","S01003283","Glasgow City"
"555","S01003086","Glasgow City"
"556","S01003370","Glasgow City"
"557","S01003031","Glasgow City"
"558","S01003096","Glasgow City"
"559","S01003613","Glasgow City"
"560","S01003566","Glasgow City"
"561","S01003197","Glasgow City"
"562","S01003638","Glasgow City"
"563","S01003041","Glasgow City"
"564","S01003037","Glasgow City"
"565","S01003631","Glasgow City"
"566","S01003588","Glasgow City"
"567","S01003399","Glasgow City"
"568","S01003131","Glasgow City"
"569","S01003038","Glasgow City"
"570","S01003318","Glasgow City"
"571","S01003212","Glasgow City"
"572","S01003170","Glasgow City"
"573","S01003432","Glasgow City"
"574","S01003067","Glasgow City"
"575","S01003423","Glasgow City"
"576","S01003295","Glasgow City"
"577","S01003626","Glasgow City"
"578","S01003124","Glasgow City"
"579","S01003115","Glasgow City"
"580","S01003550","Glasgow City"
"581","S01003102","Glasgow City"
"582","S01003196","Glasgow City"
"583","S01003177","Glasgow City"
"584","S01003497","Glasgow City"
"585","S01003241","Glasgow City"
"586","S01003210","Glasgow City"
"587","S01003532","Glasgow City"
"588","S01003258","Glasgow City"
"589","S01003180","Glasgow City"
"590","S01003282","Glasgow City"
"591","S01003504","Glasgow City"
"592","S01003323","Glasgow City"
"593","S01003529","Glasgow City"
"594","S01003641","Glasgow City"
"595","S01003699","Glasgow City"
"596","S01003112","Glasgow City"
"597","S01003168","Glasgow City"
"598","S01003506","Glasgow City"
"599","S01003311","Glasgow City"
"600","S01003079","Glasgow City"
"601","S01003437","Glasgow City"
"602","S01003612","Glasgow City"
"603","S01003171","Glasgow City"
"604","S01003234","Glasgow City"
"605","S01003186","Glasgow City"
"606","S01003113","Glasgow City"
"607","S01003366","Glasgow City"
"608","S01003261","Glasgow City"
"609","S01003081","Glasgow City"
"610","S01003341","Glasgow City"
"611","S01003252","Glasgow City"
"612","S01003474","Glasgow City"
"613","S01003438","Glasgow City"
"614","S01003368","Glasgow City"
"615","S01003453","Glasgow City"
"616","S01003632","Glasgow City"
"617","S01003288","Glasgow City"
"618","S01003507","Glasgow City"
"619","S01003025","Glasgow City"
"620","S01003120","Glasgow City"
"621","S01003520","Glasgow City"
"622","S01003675","Glasgow City"
"623","S01003521","Glasgow City"
"624","S01003061","Glasgow City"
"625","S01003089","Glasgow City"
"626","S01003609","Glasgow City"
"627","S01003661","Glasgow City"
"628","S01003139","Glasgow City"
"629","S01003133","Glasgow City"
"630","S01003359","Glasgow City"
"631","S01003514","Glasgow City"
"632","S01003319","Glasgow City"
"633","S01003260","Glasgow City"
"634","S01003224","Glasgow City"
"635","S01003620","Glasgow City"
"636","S01003513","Glasgow City"
"637","S01003576","Glasgow City"
"638","S01003485","Glasgow City"
"639","S01003574","Glasgow City"
"640","S01003554","Glasgow City"
"641","S01003522","Glasgow City"
"642","S01003141","Glasgow City"
"643","S01003330","Glasgow City"
"644","S01003276","Glasgow City"
"645","S01003542","Glasgow City"
"646","S01003623","Glasgow City"
"647","S01003233","Glasgow City"
"648","S01003027","Glasgow City"
"649","S01003530","Glasgow City"
"650","S01003526","Glasgow City"
"651","S01003697","Glasgow City"
"652","S01003050","Glasgow City"
"653","S01003103","Glasgow City"
"654","S01003085","Glasgow City"
"655","S01003616","Glasgow City"
"656","S01003660","Glasgow City"
"657","S01003429","Glasgow City"
"658","S01003524","Glasgow City"
"659","S01003106","Glasgow City"
"660","S01003503","Glasgow City"
"661","S01003155","Glasgow City"
"662","S01003059","Glasgow City"
"663","S01003525","Glasgow City"
"664","S01003569","Glasgow City"
"665","S01003163","Glasgow City"
"666","S01003071","Glasgow City"
"667","S01003229","Glasgow City"
"668","S01003109","Glasgow City"
"669","S01003527","Glasgow City"
"670","S01003153","Glasgow City"
"671","S01003570","Glasgow City"
"672","S01003597","Glasgow City"
"673","S01003074","Glasgow City"
"674","S01003559","Glasgow City"
"675","S01003544","Glasgow City"
"676","S01003560","Glasgow City"
"677","S01003594","Glasgow City"
"678","S01003110","Glasgow City"
"679","S01003066","Glasgow City"
"680","S01003068","Glasgow City"
"681","S01003555","Glasgow City"
"682","S01003591","Glasgow City"
"683","S01003511","Glasgow City"
"684","S01003539","Glasgow City"
"685","S01003556","Glasgow City"
"686","S01003568","Glasgow City"
"687","S01003545","Glasgow City"
"688","S01003589","Glasgow City"
"689","S01003552","Glasgow City"
"690","S01003095","Glasgow City"
"691","S01003587","Glasgow City"
"692","S01003558","Glasgow City"
"693","S01003509","Glasgow City"
"694","S01003536","Glasgow City"
